# transitions-schema: gororoba-legacy-patch-transitions-v1
patch_index	patch	patch_sha256	input_tree	output_tree	effect_diff_sha256	apply_engine	alternate_engine_result	files_changed	atoms	lines_added	lines_removed
53	0056-rs480-parked-gpu-quiesce-async-agents.patch	65ff70de18dc87e090ddea63d279aafbe13653d607d2372e02c62c8f3ddf4a5e	af4db17132fd42f5c45543a92bd908bbc6c26367	3133797546f188d25a2e77f3f21fdc10520c1142	f3a9d9555aee0fbdb107c56579092498823535abced9c4446fe69cde6875abc8	git-apply	accepts-identical-tree	1	2	18	0
54	0057-rs480-parked-gpu-sync-drain-async-works.patch	0ff7f9ce2a5e954383c4238f116f8b66bcb8f69538ad6acefa83e0a6cb689ab3	3133797546f188d25a2e77f3f21fdc10520c1142	ff3996c216b9561338ae65c3e0fe45f5ed299d9e	906e04b1142d3569d26a36a132a635e7b829f70468679d200ac1e65f870070a1	git-apply	accepts-identical-tree	1	1	21	3
55	0058-rs480-parked-gpu-disable-kms-output-poll.patch	5468e2c2d97e5e80cb15b862a4c3038e3b8f2777e5218b97542219c9003df030	ff3996c216b9561338ae65c3e0fe45f5ed299d9e	ed2c030f30cac6e36ef374fcfb699a73d4c4971c	079fd5eb053b85661a0fcd7ba422a3ebbe0cefe3475e50ab54ceb7fed2a28677	git-apply	accepts-identical-tree	2	6	57	0
56	0059-rs480-parked-gpu-gate-fbdev-vram-aperture.patch	b714bc1590d61b9d300d67dd36071b939c8a447020d4d7ef5ba1f5f25ba368e0	ed2c030f30cac6e36ef374fcfb699a73d4c4971c	9e27f0a9491395052b9a198019f8123fd9264dc2	c18b44002141a59ad3113bb2a3e564128cc4b1de3a2e98d7ffd1c664dc1cf8d9	git-apply	accepts-identical-tree	1	2	69	1
57	0060-rs480-parked-gpu-sigbus-vram-mmap.patch	165f1cf6743a11851ca33261224a1ae1850bbac5986cbd8cafc02a741c6fd0df	9e27f0a9491395052b9a198019f8123fd9264dc2	5282c8c9cc5e137a02d54b0a3edf87fd9012aba2	2323d74b8e1578455ea76aac20777e40c77ead017debaf57072dbfe23fbcbc56	git-apply	accepts-identical-tree	2	2	27	0
58	0061-rs480-parked-gpu-debugfs-readers-hard-return.patch	3339e5d4149722a59da9764397dd3aa9077099decd68195ede4d39cb21cee21a	5282c8c9cc5e137a02d54b0a3edf87fd9012aba2	77285203edc406f98270b3f905bc1f61b84d7257	2bd65ae4706c7d0ad1b59b3be0681c32012a45b43a6f23c409634db8f7de2c38	git-apply	accepts-identical-tree	1	21	57	0
59	0062-rs480-parked-gpu-module-unload-no-hardware.patch	f1c51b8dfbb6cbe9282510b91e5ab15b7ee8937a584b9608617b614118e8db11	77285203edc406f98270b3f905bc1f61b84d7257	65580d0742421b7fed6f373b08799b1ea30e0031	02b38423e305da35c6794710f01071d80b4ae6c81bafde13e1a14270adc4b56f	git-apply	accepts-identical-tree	2	2	25	1
60	0063-rs480-parameterized-soft-reset-mask-candidates.patch	0ae780cf7e59b38e29fd96b80ebaf72fc3be5c5813ee99dccd48b4a293d8c0e4	65580d0742421b7fed6f373b08799b1ea30e0031	4a104b9006e4f1f476ba22a7ffae42c7e542c348	f4c5028646daaf2465986cbb36139153c5ceb5695a6f1aad52bbbe4eb77481c1	git-apply	accepts-identical-tree	1	3	83	5
61	0064-rs480-soft-reset-mask-candidates-review-hardening.patch	9d65440c6170cd0b16aea6c6c4067f79bba02e3e4c569b792e0e8cb9a0a6516d	4a104b9006e4f1f476ba22a7ffae42c7e542c348	77024b615c1d2c7370d4cf1c0becc4496c9b8564	2747b30c4ed42c300b87e34ad6ea5c27acaaddc994ae42d0dfecbc135e3b9ffc	git-apply	accepts-identical-tree	1	5	52	26
62	0065-rs480-soft-reset-mask-selector-races-and-mask-aware-idle.patch	f00c6465a459222ad0a985a3bb28e7ddf3cdaf3b53f628f5dccaad5500258c48	77024b615c1d2c7370d4cf1c0becc4496c9b8564	cf13a610769d4b4280797a9e377037cea3103ae1	dea41b95c77e8fac74a7dba788d3a185c1b7fd93b59b875cd826c305ea71ebe3	git-apply	accepts-identical-tree	1	4	15	9
63	0066-rs480-atomic-one-shot-reset-mask-consume-cmpxchg.patch	418ccc742762b7e751cf3ee8d89a56ec7f31003e443b604c73963d22c323a148	cf13a610769d4b4280797a9e377037cea3103ae1	291d7ac8b9d5d0786f04a9efef276e19956bc3ba	59e1e881e7b5b2c363fe6634701a408f9d046f586c737b5a2780f3a2adadabd7	git-apply	accepts-identical-tree	1	1	7	3
64	0067-rs480-reset-idle-check-gui-active-for-experimental-masks.patch	83b4b2b545dea37139eda3165c6486eec8b87d9f01b21240a4462d8ec50566fd	291d7ac8b9d5d0786f04a9efef276e19956bc3ba	651459a1bdf13238866b0ca32e957fa70f32dc70	a8bbfebf73c9fc6b6d1d7d199b960c435cb155f8a27c13dfd797ecb9498d28f3	git-apply	accepts-identical-tree	1	1	10	9
